Latitude,Longitude,Elevation,Slope,BIO01_Historical_Mean,BIO05_Historical_Max,BIO06_Historical_Min,BIO12_Historical_Prec,BIO13_Historical_Prec,BIO15_Historical_Prec,Aspect,Soil_Clay,Soil_Sand,Landslide_Probability,Risk_Class
46.58106323102008,11.912079676236733,1457.0,22.0,5.8624997,20.0,-5.9,909.0,126.0,40.2,35.0,15.0,41.0,0.5199347001095999,MITTEL
46.672142602768986,11.169187763553072,349.0,13.0,12.087501,28.0,-1.5,835.0,98.0,27.8,142.0,16.0,47.0,0.6996684934855281,HOCH
46.65029430118548,11.135805778161394,495.0,29.0,11.470833,27.1,-1.7,806.0,96.0,28.7,103.0,16.0,47.0,0.8227154451449249,HOCH
46.76298064219909,12.066583086650136,1122.0,27.0,7.616667,22.3,-5.0,794.0,114.0,39.3,146.0,12.0,47.0,0.43105055412053905,MITTEL
46.56474211054189,11.336796933951172,808.0,8.0,9.962501,25.1,-2.4,741.0,92.0,33.4,241.0,16.0,50.0,0.633373044245971,HOCH
46.721186155253,11.328648971632836,1318.0,22.0,6.904167,21.1,-4.6,755.0,104.0,41.7,132.0,12.0,46.0,0.6392621002299037,HOCH
46.60242389448595,11.915646191873424,1658.0,18.0,5.5375,19.5,-6.1,942.0,129.0,39.2,238.0,13.0,45.0,0.35080517483547174,MITTEL
46.63163640711229,10.715930680815411,1123.0,22.0,8.879167,23.8,-3.8,594.0,79.0,35.8,173.0,16.0,48.0,0.5171637619998134,MITTEL
46.46832642739838,11.2306621940898,897.0,26.0,9.641666,24.7,-2.9,673.0,85.0,35.7,107.0,23.0,40.0,0.7147802320881563,HOCH
46.72296137453804,11.955631857260682,1686.0,26.0,5.2208333,18.7,-5.8,998.0,135.0,36.4,191.0,12.0,48.0,0.3223444063211421,MITTEL
46.72296708943532,11.951003130370454,1639.0,28.0,5.2208333,18.7,-5.8,998.0,135.0,36.4,188.0,11.0,49.0,0.4021208500420123,MITTEL
46.50540291235454,11.502401596184503,812.0,20.0,10.095834,25.5,-2.7,757.0,92.0,32.0,41.0,18.0,44.0,0.8389349802187057,HOCH
46.75554984880892,12.239903279222483,1448.0,26.0,6.0708327,20.2,-5.8,952.0,130.0,36.6,102.0,13.0,46.0,0.40946238263145107,MITTEL
46.758055890427954,12.24458847920171,1478.0,27.0,5.858333,19.9,-5.8,981.0,133.0,36.2,166.0,13.0,48.0,0.4611491589182094,MITTEL
46.76013471607765,12.23768784317942,1545.0,21.0,5.554167,19.3,-5.8,1027.0,137.0,34.7,39.0,12.0,47.0,0.4697395452292281,MITTEL
46.74363326221582,12.228961150062972,1370.0,20.0,6.566666,21.0,-5.7,874.0,122.0,37.5,153.0,17.0,43.0,0.38956544611318683,MITTEL
46.63204000438768,10.714924020369716,1144.0,22.0,8.879167,23.8,-3.8,594.0,79.0,35.8,187.0,16.0,48.0,0.5007417306332044,MITTEL
46.759081908167865,12.26130706815689,1539.0,26.0,5.175,18.8,-6.1,1071.0,142.0,33.8,209.0,9.0,51.0,0.4362403251683817,MITTEL
46.7613255142583,12.240269943451406,1477.0,10.0,5.554167,19.3,-5.8,1027.0,137.0,34.7,147.0,13.0,44.0,0.3811528731430236,MITTEL
46.741654780876345,12.22789888865138,1314.0,18.0,6.9,21.6,-5.7,823.0,116.0,38.4,159.0,16.0,41.0,0.368302140818062,MITTEL
46.743625325976645,12.220102462111294,1434.0,28.0,6.0333343,20.1,-5.7,951.0,130.0,35.6,170.0,17.0,45.0,0.41837888067017887,MITTEL
46.76034609015564,11.783954816123524,1804.0,19.0,4.795833,17.8,-5.8,1006.0,133.0,34.4,229.0,12.0,47.0,0.27781313262142393,NIEDRIG
46.686077656924304,11.892476423846905,1156.0,36.0,7.9750004,22.8,-4.6,816.0,114.0,39.3,57.0,17.0,38.0,0.5133350074340236,MITTEL
46.68471838140809,11.89388406720843,1143.0,25.0,7.9750004,22.8,-4.6,816.0,114.0,39.3,70.0,18.0,39.0,0.5516471580512854,MITTEL
46.95368408625623,11.362479254241515,1362.0,21.0,6.191667,20.5,-5.3,922.0,128.0,40.4,35.0,10.0,52.0,0.4499150979616996,MITTEL
46.788499996499816,11.950766690415678,877.0,9.0,8.825,24.1,-4.4,850.0,117.0,35.8,71.0,13.0,48.0,0.570749487859748,MITTEL
46.9189940225061,11.798804122252683,1422.0,35.0,5.1208334,19.4,-6.4,1015.0,142.0,38.8,61.0,12.0,46.0,0.4750366456595548,MITTEL
46.92023130520921,11.790426888456318,1583.0,21.0,4.329167,18.2,-6.9,1063.0,146.0,36.7,120.0,14.0,46.0,0.5239511288155083,MITTEL
46.92170271868026,11.790269396827457,1575.0,27.0,4.329167,18.2,-6.9,1063.0,146.0,36.7,62.0,14.0,44.0,0.5216731186852063,MITTEL
46.835484134011736,11.478829872683807,1336.0,28.0,6.383333,20.7,-4.9,848.0,117.0,42.2,159.0,11.0,49.0,0.5243362804866097,MITTEL
47.02531923200996,12.041348479971282,1444.0,22.0,4.4041667,18.1,-6.9,1157.0,157.0,33.7,197.0,12.0,49.0,0.538857208307014,MITTEL
46.89561728436122,11.86658447423014,1467.0,30.0,6.0833335,20.2,-5.4,961.0,137.0,39.6,178.0,14.0,49.0,0.4414931408019696,MITTEL
46.60366455436444,11.613648663238902,1194.0,25.0,8.116668,22.6,-3.5,746.0,100.0,39.3,156.0,14.0,51.0,0.6813357548903594,HOCH
46.58786135945356,11.208976376164053,444.0,32.0,11.212501,27.0,-2.2,773.0,93.0,29.7,255.0,17.0,50.0,0.858254899377371,HOCH
46.70418478455445,11.872162419463695,1367.0,38.0,6.9125,21.1,-4.7,861.0,123.0,41.0,155.0,13.0,47.0,0.4878831232614933,MITTEL
46.72314481161225,11.954156204614048,1680.0,26.0,5.2208333,18.7,-5.8,998.0,135.0,36.4,172.0,12.0,47.0,0.37832436012198123,MITTEL
46.54268073532477,11.326379904082538,1166.0,17.0,8.604167,23.2,-3.0,651.0,87.0,39.9,112.0,16.0,44.0,0.6971051280046303,HOCH
