Latitude,Longitude,Elevation,Slope,BIO01_Historical_Mean,BIO05_Historical_Max,BIO06_Historical_Min,BIO12_Historical_Prec,BIO13_Historical_Prec,BIO15_Historical_Prec,Target,Aspect,Soil_Clay,Soil_Sand
46.57658896543343,11.382062629554724,846.0,30.0,9.141666,24.3,-3.9,746.0,94.0,38.19707,1,286.0,17.0,44.0
46.593661967163,11.426217980144369,1631.0,16.0,4.3541665,17.7,-6.6,664.0,93.0,47.724346,1,286.0,11.0,52.0
46.599732907509264,11.419727224932666,1641.0,35.0,4.9583335,18.6,-6.1,656.0,93.0,48.725273,1,170.0,15.0,46.0
46.57947246653492,11.413999309044732,1552.0,18.0,5.2166667,18.8,-5.8,632.0,89.0,48.384182,1,273.0,11.0,47.0
46.56895393793644,11.404111130242566,1379.0,16.0,5.9583335,19.8,-5.2,630.0,88.0,48.849102,1,199.0,13.0,48.0
46.563171896007695,11.388440045121506,1168.0,26.0,7.633333,22.2,-4.4,661.0,91.0,46.131203,1,229.0,14.0,49.0
46.55797584744096,11.38475725050779,942.0,23.0,8.816667,23.9,-4.0,710.0,92.0,40.18921,1,210.0,17.0,51.0
46.29067917124432,11.209115251713408,282.0,29.0,11.608334,27.2,-2.4,832.0,100.0,28.733898,1,102.0,25.0,35.0
46.59823943319239,11.547703792171662,590.0,37.0,9.25,24.6,-4.2,764.0,99.0,38.31997,1,9.0,15.0,52.0
46.81995606438851,11.76253150038226,1055.0,8.0,7.2541666,22.0,-5.5,827.0,119.0,44.56007,1,331.0,11.0,60.0
46.62033102857871,11.556723197137508,848.0,26.0,9.020833,24.3,-4.3,765.0,100.0,39.501812,1,327.0,15.0,46.0
46.31551177362087,11.301302511742763,571.0,19.0,9.825,25.1,-3.4,740.0,86.0,33.61295,1,242.0,22.0,38.0
46.56778460464475,11.540068770566688,863.0,28.0,8.6875,23.9,-4.4,727.0,97.0,41.30346,1,333.0,14.0,48.0
