mean,median,std,min,max,p25,p75,p90,p10,range,cv,label,class
48.18053,49.17863,24.188128,0.07077973,89.99687,28.256746,69.15019,80.05785,14.283598,89.926094,0.50203115,1.0,Landslide
35.623302,33.518234,26.431728,0.07077973,89.99826,9.433276,58.304607,73.14689,2.7140374,89.92748,0.7419786,1.0,Landslide
36.006557,36.198845,23.359497,0.07034815,89.997574,16.667404,52.639416,68.341896,2.7715645,89.92722,0.64875674,1.0,Landslide
59.416874,62.7286,19.829409,0.15730022,89.99963,46.74024,74.96907,83.17515,30.079048,89.84233,0.33373362,1.0,Landslide
55.262127,59.195633,22.224527,0.07762095,89.99911,39.65011,73.17598,82.04006,21.358839,89.921486,0.40216562,1.0,Landslide
53.045433,55.17594,21.402205,0.17550528,89.99994,37.66585,70.119095,80.23883,22.89633,89.82443,0.40346932,1.0,Landslide
55.15367,56.878635,19.25941,0.2535617,89.999435,41.88377,69.89419,79.843765,28.109518,89.74587,0.34919545,1.0,Landslide
42.38587,40.128735,22.499363,0.09757979,89.99801,24.538853,59.593132,75.517105,13.73669,89.90043,0.5308222,1.0,Landslide
43.819534,42.692017,22.142668,0.24288239,89.999596,25.367893,61.501907,74.92301,14.673156,89.756714,0.505315,1.0,Landslide
43.465466,41.525177,23.911375,0.073239826,89.999115,23.491169,63.54486,77.57644,12.0022,89.92587,0.5501235,1.0,Landslide
51.9357,54.07299,22.157244,0.21139456,89.99948,34.906086,70.06337,80.50611,20.125568,89.788086,0.42662838,1.0,Landslide
44.83984,49.19082,26.327631,0.07077973,89.99968,18.794403,66.61753,78.25167,6.6123323,89.9289,0.5871482,1.0,Landslide
23.684914,10.604133,26.881866,0.00010789593,89.99969,1.5809054,41.549667,70.096886,0.77929735,89.99958,1.1349784,1.0,Landslide
56.45872,58.77403,20.230875,0.070781045,89.999504,42.542812,72.53859,81.7297,27.947018,89.92873,0.35833037,1.0,Landslide
41.15493,38.046127,21.380054,0.09757979,89.99891,24.253117,56.43181,73.51333,15.146891,89.90133,0.5195017,1.0,Landslide
24.038847,8.8677225,28.088093,0.059124198,89.99999,1.7793504,44.960434,72.98062,0.955011,89.940865,1.168446,1.0,Landslide
42.829292,40.68933,23.981373,0.073239826,89.999115,22.64848,62.876385,77.289536,11.498534,89.92587,0.55992925,1.0,Landslide
40.179726,39.274925,27.505194,0.070671834,89.99999,14.463111,64.883415,78.23093,2.4951427,89.92932,0.68455404,1.0,Landslide
49.030296,49.992714,21.42145,0.07308749,89.99892,33.924698,65.46663,77.309456,19.026625,89.92583,0.4369023,1.0,Landslide
45.181797,45.988205,22.957611,0.09465818,89.99746,25.9198,64.01234,75.87924,13.306398,89.9028,0.50811636,1.0,Landslide
48.2766,52.433792,26.537199,0.02927809,89.9998,24.025877,71.17633,81.63298,8.5467615,89.97052,0.5496907,1.0,Landslide
46.258965,49.662163,26.929075,0.00084828597,89.9998,20.944553,69.78083,80.896194,7.23276,89.998955,0.58213747,1.0,Landslide
53.644436,56.038307,20.799133,0.13859352,89.9977,39.03328,70.01111,79.751,23.156713,89.85911,0.3877221,1.0,Landslide
33.98661,27.586287,23.891327,0.07056394,89.99813,13.631659,52.14962,71.58763,7.586994,89.92757,0.70296293,1.0,Landslide
55.052273,56.68541,19.241257,0.2535617,89.999435,41.739403,69.79851,79.80888,28.153822,89.74587,0.34950885,1.0,Landslide
57.078156,60.829433,21.125607,0.1451967,89.99996,42.865818,73.67322,82.51932,24.931562,89.85477,0.3701172,1.0,Landslide
37.31125,32.49118,22.588684,0.22638771,89.99957,18.708027,54.41445,71.892624,10.8734665,89.773186,0.6054122,1.0,Landslide
53.638523,55.790524,20.556246,0.13859352,89.99719,39.838974,69.547516,79.50616,23.468569,89.8586,0.38323662,1.0,Landslide
37.27413,38.510067,27.766338,0.021539418,89.999954,7.181644,60.887505,75.47191,1.5544689,89.97842,0.74492246,1.0,Landslide
31.189152,25.374226,25.24254,0.040317576,89.996346,8.36386,50.629997,70.51277,2.4464722,89.956024,0.8093372,1.0,Landslide
43.925175,42.45041,21.84491,0.1471088,89.99928,26.247965,61.28096,74.81923,15.425228,89.85217,0.49732095,1.0,Landslide
35.847958,31.249638,22.09718,0.073239826,89.999115,18.162148,50.856503,70.418144,10.239673,89.92587,0.6164139,1.0,Landslide
50.91751,51.071655,19.121763,0.11331412,89.99929,37.67856,65.159935,76.43904,25.965942,89.88598,0.37554395,1.0,Landslide
44.892418,47.932117,27.27382,0.00084828597,89.9998,18.76401,68.76994,80.47696,5.8297205,89.998955,0.6075373,1.0,Landslide
47.848083,49.597336,23.149765,0.07077973,90.0,28.967237,66.72779,78.13616,15.082986,89.92922,0.48381802,1.0,Landslide
48.450752,49.193405,22.125025,0.102865905,89.9984,30.868382,66.65611,77.622925,18.264353,89.89553,0.45664978,0.0,Non-Landslide
55.259132,58.44796,20.951456,0.41781634,89.99942,40.052757,72.07676,81.060776,23.74644,89.581604,0.3791492,0.0,Non-Landslide
42.61709,41.61625,22.8925,0.07034815,89.99697,25.027622,60.23353,74.94486,11.496733,89.92662,0.53716713,0.0,Non-Landslide
14.476487,4.930102,20.145603,0.0033205247,89.993095,1.2089888,19.649788,43.683716,0.6484343,89.98978,1.3916086,0.0,Non-Landslide
42.546673,41.53702,22.30133,0.08920749,89.99749,25.11006,59.44139,74.19266,12.456861,89.90828,0.5241616,0.0,Non-Landslide
30.354033,22.950878,28.702732,0.0026121482,89.998985,2.055428,55.324905,74.62826,0.84254235,89.996376,0.94559866,0.0,Non-Landslide
60.318756,65.93247,21.376558,0.15459016,89.99948,45.575737,77.40323,84.33104,26.727879,89.844894,0.3543932,0.0,Non-Landslide
51.320164,52.506214,20.75408,0.18944773,89.99992,35.3395,68.09152,78.47468,22.309835,89.81048,0.404404,0.0,Non-Landslide
48.4169,55.38416,27.93005,0.034532532,89.9996,17.647108,72.74835,81.705154,8.265276,89.96507,0.57686573,0.0,Non-Landslide
47.281075,47.010777,21.941679,0.22229388,89.99878,29.617836,65.0341,77.465614,17.666328,89.77648,0.46406895,0.0,Non-Landslide
48.369236,48.439026,22.801924,0.20243746,89.99905,29.562819,67.51567,79.47867,17.364498,89.79661,0.47141376,0.0,Non-Landslide
40.858593,37.77015,21.213535,0.24288239,89.999596,24.052628,56.321537,72.51314,14.9492035,89.756714,0.51919395,0.0,Non-Landslide
50.43813,52.833862,23.20632,0.23494612,89.999664,33.147175,69.16088,80.231026,16.044628,89.76472,0.46009478,0.0,Non-Landslide
50.740158,51.73476,21.030859,0.21139456,89.99891,34.39865,67.56935,78.67466,21.613049,89.78751,0.41448155,0.0,Non-Landslide
48.87814,50.598873,23.285887,0.081534274,89.9989,28.936226,68.426926,79.56185,16.063324,89.917366,0.476407,0.0,Non-Landslide
43.72168,40.650665,23.417032,0.19497359,89.999794,23.54315,63.73645,77.84863,14.580829,89.80482,0.53559315,0.0,Non-Landslide
54.739758,57.717613,20.598295,0.29817694,89.998405,39.314453,71.222595,80.24118,24.356411,89.700226,0.37629497,0.0,Non-Landslide
31.990665,26.058413,27.992048,0.00084828597,89.999954,4.180485,56.349957,73.96363,1.3557675,89.99911,0.87500674,0.0,Non-Landslide
