mean,median,std,min,max,range,p25,p75,p90,cv,iqr
71.2049,68.456345,35.644814,0.1451967,623.65186,623.50665,49.488125,87.67735,112.086365,0.5005949,38.189228
45.316982,35.76689,38.08513,0.22638771,1156.9746,1156.7482,19.82328,61.901733,85.57356,0.84041625,42.078453
60.311977,59.41081,27.63788,0.13859352,362.03232,361.89374,42.443443,75.80508,93.00128,0.45824862,33.361633
44.624706,43.714493,35.411,0.021539418,414.04904,414.0275,10.102988,68.32311,89.40639,0.79352903,58.220123
41.86244,29.685095,47.094112,0.040317576,1048.1097,1048.0695,9.855848,60.39264,87.429825,1.1249729,50.53679
59.827854,47.21942,69.04513,0.1471088,2591.2441,2591.097,28.377329,69.87047,95.7599,1.1540632,41.49314
44.05516,34.206184,36.612022,0.073239826,689.38947,689.3162,19.338238,59.417618,86.39413,0.83104956,40.07938
54.481644,52.766663,23.868267,0.11331412,366.30222,366.1889,38.650913,68.416306,82.95208,0.43809742,29.765392
55.92672,56.387814,37.889496,0.00084828597,663.9908,663.9899,24.358265,79.759735,99.90576,0.6774847,55.40147
54.721756,53.85285,30.602568,0.07077973,426.1626,426.09183,31.717459,73.15747,91.42317,0.5592395,41.44001
