Latitude,Longitude,Elevation,Slope,BIO01_Historical_Mean,BIO05_Historical_Max,BIO06_Historical_Min,BIO12_Historical_Prec,BIO13_Historical_Prec,BIO15_Historical_Prec,Target,Aspect,Soil_Clay,Soil_Sand
46.64787034984689,11.852191378140448,1728.0,9.0,5,19,-6,1016,145,43,1,96.0,17.0,43.0
46.58106323102008,11.912079676236733,1457.0,22.0,5,19,-6,1024,147,43,1,35.0,15.0,41.0
46.672142602768986,11.169187763553072,349.0,13.0,11,28,-2,794,101,34,1,142.0,16.0,47.0
46.65029430118548,11.135805778161394,495.0,29.0,11,27,-2,749,96,36,1,103.0,16.0,47.0
46.76298064219909,12.066583086650136,1122.0,27.0,7,22,-5,880,129,45,1,146.0,12.0,47.0
46.56474211054189,11.336796933951172,808.0,8.0,8,24,-3,681,95,42,1,241.0,16.0,50.0
46.721186155253,11.328648971632836,1318.0,22.0,5,19,-6,744,105,42,1,132.0,12.0,46.0
46.60242389448595,11.915646191873424,1658.0,18.0,5,19,-6,1026,146,42,1,238.0,13.0,45.0
46.63163640711229,10.715930680815411,1123.0,22.0,6,21,-6,536,76,38,1,173.0,16.0,48.0
46.46832642739838,11.2306621940898,897.0,26.0,9,25,-3,660,87,39,1,107.0,23.0,40.0
46.72296137453804,11.955631857260682,1686.0,26.0,5,19,-6,1034,145,41,1,191.0,12.0,48.0
46.72296708943532,11.951003130370454,1639.0,28.0,5,19,-6,1024,144,42,1,188.0,11.0,49.0
46.50540291235454,11.502401596184503,812.0,20.0,10,26,-3,743,99,39,1,41.0,18.0,44.0
46.75554984880892,12.239903279222483,1448.0,26.0,5,20,-6,1086,150,40,1,102.0,13.0,46.0
46.758055890427954,12.24458847920171,1478.0,27.0,5,19,-6,1099,150,40,1,166.0,13.0,48.0
46.76013471607765,12.23768784317942,1545.0,21.0,5,19,-6,1114,152,39,1,39.0,12.0,47.0
46.74363326221582,12.228961150062972,1370.0,20.0,6,21,-6,974,139,43,1,153.0,17.0,43.0
46.63204000438768,10.714924020369716,1144.0,22.0,6,21,-6,536,76,38,1,187.0,16.0,48.0
